Objection,Rebuttal,Category,Tags,filename,question,category,answer
I'm happy where I'm at.,"Totally get that — and honestly, if you're not feeling any pain, change feels unnecessary. But let me ask you: if you could get everything you're getting now, plus a team that builds and runs your entire system to help you close 2–3 more deals a month at no cost… why wouldn't you at least explore it? Let’s jump on a quick call so you can see the difference. Fair enough?",Loyalty / Comfort,"loyalty, comfort, resistance to change",,,,
,,,,jay_faqs_master,"How many leads can I expect, and what’s the typical cost per lead?",faqs/leads,"Great question. Quick version: our baseline target is ~75–100 leads a month on a $300 budget, which pencils out to about $3–$5 per lead. What partners find is that deals come from consistent follow‑up—only a fraction answer first call, so we work the 10‑day plan and long‑term nurture. Does that align with what you’re aiming for? Want to map your market and confirm expected volume?"
,,,,jay_faqs_master,Are leads exclusive to me once I’m in?,faqs/leads,"Yes. Ads run in your own Facebook/Meta account, so the leads are yours and flow straight into your CRM. You can turn budget up or down any time. I just don’t recommend shutting off completely—many agents get busy and accidentally kill their own pipeline. Make sense? Want me to show how we throttle instead of hard‑stop?"
,,,,jay_faqs_master,Do I have to join eXp to access this system?,faqs/exp_model,"Partnering at eXp is how I do this for free—I’m compensated through revenue share, so you keep your cash for ads. If you insist on paying instead of moving, we can do an implementation (~$15k), but I’d rather just help you and keep your money working in your business. Fair enough? Should we look at the eXp path first and compare?"
,,,,jay_faqs_master,How are the eXp fees and splits structured?,faqs/exp_model,"Simple: 80/20 split with a $16,000 cap. After you cap, you’re at 100% and pay a $250 transaction fee per closing until you’ve paid $5,000—at that point you hit ICON and receive the $16,000 back in company stock. Early on, expect a $25 transaction fee per closing. Sound reasonable?"
,,,,jay_faqs_master,How does this cost‑per‑lead approach compare to buying leads from Zillow or other vendors?,faqs/leads,"We target $3–$5 CPL on campaigns you own, versus portal leads that can be $100+ and resold to multiple agents. Owning your funnel builds a compounding database and more conversations per dollar. Would it be a bad idea to start with a $10/day pilot and judge it by the data?"
,,,,jay_faqs_master,What’s the $25 transaction fee?,faqs/exp_model,"Before capping, there’s a $25 transaction fee per closing. After you cap, it’s $250 per closing until you’ve paid $5,000 in transaction fees—then you reach ICON and the $16,000 cap is returned in stock. Make sense so far?"
,,,,jay_faqs_master,"What does the $16,000 cap mean?",faqs/exp_model,"You pay the 80/20 split until eXp collects $16,000 from your production. After that you’re effectively 100%, with a small transaction fee until ICON status. Clear enough?"
,,,,jay_faqs_master,How long does it take to get the funnel live?,faqs/onboarding,"We move fast: A2P/phone registration is typically ~10 days, while creative, CRM automations, and compliance run in parallel. Most agents launch in about 2–3 weeks. Want to see the step‑by‑step timeline?"
,,,,jay_faqs_master,When will I start closing deals?,faqs/time,Leads start almost immediately after launch; closings generally show up in 60–90 days as the pipeline compiles. Buyers often nurture for a few weeks before moving. Sound fair?
