filename,question,category,answer
jay_objections,I don't want to switch brokerages because of the split—why would I move?,objections/fees,"Totally fair. With eXp you start 80/20 with a $16k cap; once you cap you’re 100% and only pay small transaction fees. My marketing machine is included when you partner, so instead of paying a vendor $15k–$30k a year, you redirect that budget into ads you control. Net-net: lower fixed cost, more upside, and you own the pipeline we build."
jay_objections,Why would I change my split just to join you?,objections/fees,"Great question. Totally fair. With eXp you start 80/20 with a $16k cap; once you cap you’re 100% and only pay small transaction fees. My marketing machine is included when you partner, so instead of paying a vendor $15k–$30k a year, you redirect that budget into ads you control. Net-net: lower fixed cost, more upside, and you own the pipeline we build."
jay_objections,Are there surprise charges beyond the cap and split?,objections/fees,"Totally fair. Totally fair. With eXp you start 80/20 with a $16k cap; once you cap you’re 100% and only pay small transaction fees. My marketing machine is included when you partner, so instead of paying a vendor $15k–$30k a year, you redirect that budget into ads you control. Net-net: lower fixed cost, more upside, and you own the pipeline we build."
jay_objections,Are there any hidden platform fees or upsells with your program?,objections/fees,"No platform fee, no retainer. You cover your ad spend (we start at ~$10/day) and the normal eXp fees. Our team does the buildout, creative, and tech at no charge when you partner. If you ever leave, you keep your leads and ad accounts."
jay_objections,I’ve heard caps and fees vary; what’s the actual cost structure?,objections/fees,"It’s simple: 80/20 split until you hit a $16k cap, then 100%. After capping there’s a small per-transaction fee until ICON. No monthly desk fees. Your main variable cost is ad spend—which we tune so ROI stays positive."
jay_objections,Are the leads exclusive to me or shared?,objections/leads,"They’re yours. Ads run in your own Meta account and point into your CRM. We don’t resell or recycle them. You can pause or scale spend any time, but don’t shut the pipeline off completely—consistency wins."
jay_objections,"Are these leads truly exclusive, or do others get them too?",objections/leads,"Great question. They’re yours. Ads run in your own Meta account and point into your CRM. We don’t resell or recycle them. You can pause or scale spend any time, but don’t shut the pipeline off completely—consistency wins."
jay_objections,How do your leads compare to Zillow or portal leads?,objections/leads,"Totally fair. They’re yours. Ads run in your own Meta account and point into your CRM. We don’t resell or recycle them. You can pause or scale spend any time, but don’t shut the pipeline off completely—consistency wins."
jay_objections,What’s the quality like compared to Zillow or portal leads?,objections/leads,Portals sell the same prospect to multiple agents. We target move-ready buyers and build your list at $3–$5 CPL. You’ll have more conversations for the same budget and you own the data forever.
jay_objections,Will this work in my market right now?,objections/leads,"Yes—we use market data to set price points and creative that match current demand. If CPL rises, we pivot: new hooks, new submarkets, or a nearby city. The playbook is test, measure, and iterate quickly."
jay_objections,I don’t have time to manage another system.,objections/time,"We do the heavy lifting—ads, landing pages, automations, A2P, reporting. Your job is the five-minute rule and the follow‑up plan we give you. If you can commit 60–90 minutes a day to conversations, this works."
jay_objections,I’m slammed—how much time will this take each day?,objections/time,"Great question. We do the heavy lifting—ads, landing pages, automations, A2P, reporting. Your job is the five-minute rule and the follow‑up plan we give you. If you can commit 60–90 minutes a day to conversations, this works."
jay_objections,What if I get overwhelmed—can I throttle the ads?,objections/time,"Totally fair. We do the heavy lifting—ads, landing pages, automations, A2P, reporting. Your job is the five-minute rule and the follow‑up plan we give you. If you can commit 60–90 minutes a day to conversations, this works."
jay_objections,What if I get too busy—can I pause?,objections/time,"Yes, you control spend inside your ad account. We recommend throttling down rather than hard‑off so the algorithm and pipeline don’t reset."
jay_objections,How long until I see closings?,objections/time,"Leads start day one, appointments in week one, and most partners see first closings in 60–90 days. That timeline compresses when you follow the contact cadence and scripts we provide."
jay_objections,I’m not tech savvy—how hard is onboarding?,objections/onboarding,"We do it with you: Business Manager, pixels, domains, A2P registration, API Nation, kvCORE automations, templates. You approve creatives and record a couple of short videos if you want—everything else is handled."
jay_objections,I’m not techy—who handles setup?,objections/onboarding,"Great question. We do it with you: Business Manager, pixels, domains, A2P registration, API Nation, kvCORE automations, templates. You approve creatives and record a couple of short videos if you want—everything else is handled."
jay_objections,Can I keep my current CRM and workflows?,objections/onboarding,"Totally fair. We do it with you: Business Manager, pixels, domains, A2P registration, API Nation, kvCORE automations, templates. You approve creatives and record a couple of short videos if you want—everything else is handled."
jay_objections,Can I use my existing CRM like kvCORE/Lofty/Chime?,objections/onboarding,"Yes. kvCORE is native; Lofty and Chime work fine. We load your smart campaigns, tags, and tasks so every lead gets worked automatically."
