,,,,,,,
filename,question,category,answer,empathy,reassurance,humour,persuasion
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,"I don't know. Was it 11? Was it 10? Was it? Was it 9? That was the 1st 1, 1st or 1st or second one?",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,"That that might have been a really small, intimate one, right? Like.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,For that! Huh?,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,He? He was brokering.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,"Hey, hey, Jay! What's up?",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,What?,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,"And there is no money in that right? So to create, you know, some income so that I can have a proven testimonial. I think that would have some value. I definitely do.",fees/splits,"Sure. Yeah, yeah, I agree, I agree with that.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,If you could poke and probe and see what else is around? Um? And then we could Collab and I could go back to my old notes and see what was offered. Then.,general,Yep.,TRUE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,Go through a trial. See what the system's like. See what? Arrange an orientation for for the back end of um exp's platform.,crm/tools,Yeah. Yep. Yep.,TRUE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,"You know. 2, 3, 400 agents from the company. They're gonna say, why, the fuck did you leave? Excuse me.",recruiting,"Right, right.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,"Is, is it scaling? Is that what you called it? No, um.",support/training,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,"Um, what other creative things could we do? So that I can entice these agents to say, look, man, you're coming over. I paid for your business cards. I paid for your pens.",recruiting,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,"When, as soon as I say to them, Look, why don't you buy a system to give you leads? Well, I don't have 3 or 4 grand a month.",leads,,FALSE,FALSE,FALSE,FALSE
